iter	Passed	Remaining
879	23966	3268
880	23989	3240
881	24011	3212
882	24036	3184
883	24059	3157
884	24083	3129
885	24105	3101
886	24130	3074
887	24160	3047
888	24189	3020
889	24220	2993
890	24248	2966
891	24276	2939
892	24306	2912
893	24334	2885
894	24364	2858
895	24393	2831
896	24424	2804
897	24456	2777
898	24485	2750
899	24512	2723
900	24539	2696
901	24567	2669
902	24599	2642
903	24630	2615
904	24662	2588
905	24691	2561
906	24718	2534
907	24746	2507
908	24774	2480
909	24801	2452
910	24829	2425
911	24856	2398
912	24884	2371
913	24911	2343
914	24938	2316
915	24964	2289
916	24990	2261
917	25017	2234
918	25044	2207
919	25072	2180
920	25098	2152
921	25127	2125
922	25153	2098
923	25181	2071
924	25212	2044
925	25241	2017
926	25270	1990
927	25297	1962
928	25324	1935
929	25351	1908
930	25378	1880
931	25407	1853
932	25434	1826
933	25461	1799
934	25488	1771
935	25516	1744
936	25541	1717
937	25567	1689
938	25594	1662
939	25621	1635
940	25649	1608
941	25676	1580
942	25703	1553
943	25730	1526
944	25757	1499
945	25785	1471
946	25813	1444
947	25840	1417
948	25868	1390
949	25894	1362
950	25923	1335
951	25949	1308
952	25975	1281
953	26002	1253
954	26029	1226
955	26057	1199
956	26083	1171
957	26110	1144
958	26138	1117
959	26166	1090
960	26194	1063
961	26220	1035
962	26247	1008
963	26275	981
964	26303	953
965	26329	926
966	26357	899
967	26383	872
968	26410	844
969	26438	817
970	26465	790
971	26493	763
972	26521	735
973	26549	708
974	26577	681
975	26604	654
976	26632	626
977	26661	599
978	26688	572
979	26718	545
980	26745	518
981	26771	490
982	26799	463
983	26826	436
984	26853	408
985	26882	381
986	26909	354
987	26936	327
988	26962	299
989	26990	272
990	27016	245
991	27043	218
992	27071	190
993	27098	163
994	27126	136
995	27156	109
996	27187	81
997	27218	54
998	27248	27
999	27277	0
